RECL,Last Column (lCol)                        ,Edit    ,Num
penfreq,Pension Frequency                         ,Combo   ,Char
pRECL,Last Column                               ,Edit    ,Num
ppenfreq,Pension Frequency                         ,Combo   ,Char
fNOM[1;],No Of Members (NOM)                       ,Format  ,Num
fNOM[2;],to                                        ,Format  ,Num
pfNOM[1;],No Of Members (#NOM)                      ,Format  ,Num
pfNOM[2;],to                                        ,Format  ,Num
fNAME[1;],Pensioner's Name (NAME)                   ,Format  ,Num
fNAME[2;],to                                        ,Format  ,Num
pfNAME[1;],Pensioner's Name (#NAME)                  ,Format  ,Num
pfNAME[2;],to                                        ,Format  ,Num
fSEX[1;],Sex (SEX)                                 ,Format  ,Num
fSEX[2;],Sex (SEX)                                 ,Format  ,Num
pfSEX[1;],Sex (#SEX)                                ,Format  ,Num
pfSEX[2;],Sex (#SEX)                                ,Format  ,Num
fDOB[1;],Date Of Birth (DOB)                       ,Format  ,Num
fDOB[2;],to                                        ,Format  ,Num
dfDOB,Format                                    ,Format  ,Upper
pfDOB[1;],Date Of Birth (#DOB)                      ,Format  ,Num
pfDOB[2;],to                                        ,Format  ,Num
pdfDOB,Format                                    ,Format  ,Upper
fMEMORSP[1;],Member or Spouse (MEMORSP)                ,Format  ,Num
fMEMORSP[2;],Member or Spouse (MEMORSP)                ,Format  ,Num
pfMEMORSP[1;],Member or Spouse (#MEMORSP)               ,Format  ,Num
pfMEMORSP[2;],Member or Spouse (#MEMORSP)               ,Format  ,Num
fLD[1;],Leaving Service Date (LD)                 ,Format  ,Num
fLD[2;],to                                        ,Format  ,Num
dfLD,Format                                    ,Format  ,Upper
pfLD[1;],Leaving Service Date (#LD)                ,Format  ,Num
pfLD[2;],to                                        ,Format  ,Num
pdfLD,Format                                    ,Format  ,Upper
fCAT[1;],Category (CAT)                            ,Format  ,Num
fCAT[2;],to                                        ,Format  ,Num
pfCAT[1;],Category (#CAT)                           ,Format  ,Num
pfCAT[2;],to                                        ,Format  ,Num
fDPC[1;],Date First Pension Commenced (DPC)        ,Format  ,Num
fDPC[2;],to                                        ,Format  ,Num
dfDPC,Format                                    ,Format  ,Upper
pfDPC[1;],Date First Pension Commenced (#DPC)       ,Format  ,Num
pfDPC[2;],to                                        ,Format  ,Num
pdfDPC,Format                                    ,Format  ,Upper
fTOP[1;],Type of Pension (TOP)                     ,Format  ,Num
fTOP[2;],to                                        ,Format  ,Num
pfTOP[1;],Type of Pension (#TOP)                    ,Format  ,Num
pfTOP[2;],to                                        ,Format  ,Num
fSDOB[1;],Spouse's Date of Birth (SDOB)             ,Format  ,Num
fSDOB[2;],to                                        ,Format  ,Num
dfSDOB,Format                                    ,Format  ,Upper
pfSDOB[1;],Spouse's Date of Birth (#SDOB)            ,Format  ,Num
pfSDOB[2;],to                                        ,Format  ,Num
pdfSDOB,Format                                    ,Format  ,Upper
fMS[1;],Marital Status (MS)                       ,Format  ,Num
fMS[2;],Marital Status (MS)                       ,Format  ,Num
pfMS[1;],Marital Status (#MS)                      ,Format  ,Num
pfMS[2;],Marital Status (#MS)                      ,Format  ,Num
fGMP0[1;],Pre 1988 GMP (GMP0)                       ,Format  ,Num
fGMP0[2;],to                                        ,Format  ,Num
pfGMP0[1;],Previous Pre 1988 GMP (#GMP0)             ,Format  ,Num
pfGMP0[2;],to                                        ,Format  ,Num
fGMPE0[1;],Post 1988 GMP (GMPE0)                     ,Format  ,Num
fGMPE0[2;],to                                        ,Format  ,Num
pfGMPE0[1;],Previous Post 1988 GMP (#GMPE0)           ,Format  ,Num
pfGMPE0[2;],to                                        ,Format  ,Num
fDOT[1;],Date Ceased Pension (DOT)                 ,Format  ,Num
fDOT[2;],to                                        ,Format  ,Num
dfDOT,Format                                    ,Format  ,Upper
pfDOT[1;],Date Ceased Pension (#DOT)                ,Format  ,Num
pfDOT[2;],to                                        ,Format  ,Num
pdfDOT,Format                                    ,Format  ,Upper
fMOT[1;],Mode Ceased Pension (MOT)                 ,Format  ,Num
fMOT[2;],to                                        ,Format  ,Num
pfMOT[1;],Mode Ceased Pension (#MOT)                ,Format  ,Num
pfMOT[2;],to                                        ,Format  ,Num
fBOT[1;],Benefit upon Termination (BOT)            ,Format  ,Num
fBOT[2;],to                                        ,Format  ,Num
pfBOT[1;],Benefit upon Termination (#BOT)           ,Format  ,Num
pfBOT[2;],to                                        ,Format  ,Num
fTPP[1;],Total Pension Paid (TPP)                  ,Format  ,Num
fTPP[2;],to                                        ,Format  ,Num
pfTPP[1;],Total Pension Paid (#TPP)                 ,Format  ,Num
pfTPP[2;],to                                        ,Format  ,Num
TotNumVars[;] ,Variable Name                             ,Col     ,Char  
TotNumFrom[;] ,Current From                              ,Col     ,Num   
TotNumTo[;]   ,Current To                                ,Col     ,Num   
pTotNumFrom[;],Previous From                             ,Col     ,Num   
pTotNumTo[;]  ,Previous To                               ,Col     ,Num   
TotNumDesc[;] ,Description                               ,Col     ,Char  
CharVars[;]   ,Variable Name                             ,Col     ,Char  
CharFrom[;]   ,From                                      ,Col     ,Num   
CharTo[;]     ,To                                        ,Col     ,Num   
CharDesc[;]   ,Description                               ,Col     ,Char  
DateVars[;]   ,Variable Name                             ,Col     ,Char  
DateFrom[;]   ,From                                      ,Col     ,Num   
DateTo[;]     ,To                                        ,Col     ,Num   
DateFmt[;]    ,Date Format                               ,Col     ,Upper 
DateDesc[;]   ,Description                               ,Col     ,Char  
Category[;]   ,Category                                  ,Row     ,Char  
MinAgeM[;]    ,Min. Age (Male)                           ,Row     ,Num   
MaxAgeM[;]    ,Max. Age (Male)                           ,Row     ,Num   
MinAgeF[;]    ,Min. Age (Female)                         ,Row     ,Num   
MaxAgeF[;]    ,Max. Age (Female)                         ,Row     ,Num   
